title,description,videoLink,videoLink2,videoLink3,notesLink1,notesLink2,notesLink3,topicId,subtopicId,specpointId,higherTier,physicsOnly
"Current, resistance & potential difference","The current (I) through a component depends on both the resistance (R) of the component and the potential difference (V) across the component. The greater the resistance of the component the smaller the current for a given potential difference (pd) across the component.\n

Questions will be set using the term potential difference. Students will gain credit for the correct use of either potential difference or voltage.\n

Current, potential difference or resistance can be calculated using the equation:\n

potential difference = current × resistance\n
\(V=IR\)\n

potential difference, V, in volts, V
current, I, in amperes, A (amp is acceptable for ampere)
resistance, R, in ohms, Ω",https://www.youtube.com/watch?v=cx9xLwa7Gco,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-3-current-resistance--potential-difference/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-4-required-practical-investigating-resistance/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-5-resistors/,2,1,3,FALSE,FALSE
Resistors,"Students should be able to explain that, for some resistors, the value of R remains constant but that in others it can change as the current changes.\n The current through an ohmic conductor (at a constant temperature) is directly proportional to the potential difference across the resistor. This means that the resistance remains constant as the current changes.\n

The resistance of components such as lamps, diodes, thermistors and LDRs is not constant; it changes with the current through the component.

The resistance of a filament lamp increases as the temperature of the filament increases.\n

The current through a diode flows in one direction only. The diode has a very high resistance in the reverse direction.\n

- The resistance of a thermistor decreases as the temperature increases.
- The applications of thermistors in circuits eg a thermostat is required.
- The resistance of an LDR decreases as light intensity increases.

The application of LDRs in circuits eg switching lights on when it gets dark is required.
Students should be able to:\n

• explain the design and use of a circuit to measure the resistance of a component by measuring the current through and potential difference across the component
• draw an appropriate circuit diagram using correct circuit symbols.\n

Students should be able to use graphs to explore whether circuit elements are linear or non-linear and relate the curves produced to their function and properties.",https://www.youtube.com/watch?v=2CA1mcYw3IQ,https://www.youtube.com/watch?v=WzSh6ykqn9I,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-6-iv-graphs/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-8-ldrs/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-1-current-potential-difference--resistance/2-1-9-investigating-resistance-in-thermistors--ldrs/,2,1,4,FALSE,FALSE
Series & Parallel circuits ,"There are two ways of joining electrical components, in series and in parallel. Some circuits include both series and parallel parts.\n

For components connected in series: • there is the same current through each component • the total potential difference of the power supply is shared between the components • the total resistance of two components is the sum of the resistance of each component.\n

\(R_total = R1 + R2\)

resistance, R, in ohms, Ω\n

For components connected in parallel:\n
• the potential difference across each component is the same
• the total current through the whole circuit is the sum of the currents through the separate components
• the total resistance of two resistors is less than the resistance of the smallest individual resistor.

Students should be able to:

• use circuit diagrams to construct and check series and
parallel circuits that include a variety of common circuit
components
• describe the difference between series and parallel circuits
• explain qualitatively why adding resistors in series increases
the total resistance whilst adding resistors in parallel decreases the total resistance

• explain the design and use of dc series circuits for measurement and testing purposes
• calculate the currents, potential differences and resistances in dc series circuits
• solve problems for circuits which include resistors in series using the concept of equivalent resistance.

Students are not required to calculate the total resistance of two resistors joined in parallel.",https://www.youtube.com/watch?v=JhBrAmQYr2g,https://www.youtube.com/watch?v=JhBrAmQYr2g,https://www.youtube.com/watch?v=vJRXozSVTI8,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-2-series--parallel-circuits/2-2-1-series--parallel-circuits/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-2-series--parallel-circuits/2-2-2-resistors-in-series--parallel/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-2-series--parallel-circuits/2-2-4-ac--dc/,2,2,1,FALSE,FALSE
Direct & alternating potential difference,Mains electricity is an ac supply. In the United Kingdom the domestic electricity supply has a frequency of 50 Hz and is about 230 V. \nStudents should be able to explain the difference between direct and alternating potential difference.,https://www.youtube.com/watch?v=EY_EphcrpDI,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-2-series--parallel-circuits/2-2-4-ac--dc/,,,2,3,1,,
Mains electricity,"Most electrical appliances are connected to the mains using threecore cable. The insulation covering each wire is colour coded for easy identification: live wire – brown neutral wire – blue earth wire – green and yellow stripes.\n The live wire carries the alternating potential difference from the supply. The neutral wire completes the circuit.\n

 The earth wire is a safety wire to stop the appliance becoming live. The potential difference between the live wire and earth (0 V) is about 230 V. The neutral wire is at, or close to, earth potential (0 V). The earth wire is at 0 V, it only carries a current if there is a fault.\n

Students should be able to explain:\n

• that a live wire may be dangerous even when a switch in the mains circuit is open
 • the dangers of providing any connection between the live wire and earth.",https://www.youtube.com/watch?v=2g8SusMrX_o,https://www.youtube.com/watch?v=S8lB2kxT1n0,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-2-series--parallel-circuits/2-2-5-mains-electricity/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-2-series--parallel-circuits/2-2-6-dangers-of-mains-electricity/,,2,3,2,,
Power,"Students should be able to explain how the power transfer in any circuit device is related to the potential difference across it and the current through it, and to the energy changes over time:\n

power = potential difference × current
\(P=VI\)\n

power = current^2 × resistance
\(P  =  (I^2)*R\)\n

power, P, in watts, W
potential difference, V, in volts, V
current, I, in amperes, A (amp is acceptable for ampere)
resistance, R, in ohms, Ω",https://www.youtube.com/watch?v=hRojfU77c38,https://www.youtube.com/watch?v=LOyJdI41aCU,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-3-energy-transfers/2-3-1-electrical-power/,,,2,4,1,,
Energy transfers in everyday appliances,"Everyday electrical appliances are designed to bring about energy transfers. The amount of energy an appliance transfers depends on how long the appliance is switched on for and the power of the appliance.\n

Students should be able to describe how different domestic appliances transfer energy from batteries or ac mains to the kinetic energy of electric motors or the energy of heating devices. Work is done when charge flows in a circuit. The amount of energy transferred by electrical work can be calculated using the equation:\n

energy transferred = power × time
\(E=Pt\)\n
energy transferred = charge flow × potential difference
\(E=QV\)\n

energy transferred, E, in joules, J
power, P, in watts, W
time, t, in seconds, s
charge flow, Q, in coulombs, C
potential difference, V, in volts, V\n

Students should be able to explain how the power of a circuit device is related to:\n
• the potential difference across it and the current through it
• the energy transferred over a given time.

\nStudents should be able to describe, with examples, the relationship between the power ratings for domestic electrical, appliances and the changes in stored energy when they are in use.
",https://www.youtube.com/watch?v=gj1tu8bTKjI,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-3-energy-transfers/2-3-2-electrical-energy/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-3-energy-transfers/2-3-3-calculating-energy-transfers/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-3-energy-transfers/2-3-4-power-ratings/,2,4,2,FALSE,FALSE
The National Grid ,"The National Grid is a system of cables and transformers linking power stations to consumers.

Electrical power is transferred from power stations to consumers using the National Grid.\n

Step-up transformers are used to increase the potential difference from the power station to the transmission cables then step-down
transformers are used to decrease, to a much lower value, the potential difference for domestic use.\n

Students should be able to explain why the National Grid system is an efficient way to transfer energy. ",https://www.youtube.com/watch?v=VTAFjhO1HNo,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-3-energy-transfers/2-3-5-the-national-grid/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-3-energy-transfers/2-3-6-use-of-transformers/,,2,4,3,FALSE,FALSE
Static charge ,"When certain insulating materials are rubbed against each other they become electrically charged. Negatively charged electrons are rubbed off one material and on to the other. The material that gains electrons becomes negatively charged.\n

The material that loses electrons is left with an equal positive charge. When two electrically charged objects are brought close together they exert a force on each other. Two objects that carry the same type of charge repel. Two objects that carry different types of charge attract. Attraction and repulsion between two charged objects are examples of non-contact force.\n

Students should be able to:\n

• describe the production of static electricity, and sparking, by rubbing surfaces.
• describe evidence that charged objects exert forces of attraction or repulsion on one another when not in contact.
• explain how the transfer of electrons between objects can explain the phenomena of static electricity.

",https://www.youtube.com/watch?v=St_KzxJqUGA,https://www.youtube.com/watch?v=5obbfXg_MH4,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-4-static-electricity/2-4-1-electric-charge/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-4-static-electricity/2-4-2-static-electricity/,,2,5,1,FALSE,TRUE
Electric fields,"A charged object creates an electric field around itself. The electric field is strongest close to the charged object. The further away from the charged object, the weaker the field.\n A second charged object placed in the field experiences a force. The force gets stronger as the distance between the objects decreases.\n

 Students should be able to:\n

• draw the electric field pattern for an isolated charged sphere. 
• explain the concept of an electric field.
• explain how the concept of an electric field helps to explain the non-contact force between charged objects as well as other electrostatic phenomena such as sparking.",https://www.youtube.com/watch?v=_v4ugAwV59U,https://www.youtube.com/watch?v=rPbx_XrrKLQ,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-4-static-electricity/2-4-3-electric-fields/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/2-electricity/2-4-static-electricity/2-4-4-fields--static/,,2,5,2,FALSE,TRUE
Density of materials ,"The density of a material is defined by the equation: density = mass/ volume 
\(ρ = mV\)\n
density, ρ, in kilograms per metre cubed, kg/m3 mass, m, in kilograms, kg volume, V, in metres cubed, m3 

\nThe particle model can be used to explain 
• the different states of matter 
• differences in density

Students should be able to recognise/draw simple diagrams to model the difference between solids, liquids and gases.\n

Students should be able to explain the differences in density between the different states of matter in terms of the arrangement
of atoms or molecules.",https://www.youtube.com/watch?v=-EZmXVOSa20,https://www.youtube.com/watch?v=ScXOp8Zph28,https://www.youtube.com/watch?v=pgGzVdau1Bw,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-1-changes-of-state--the-particle-model/3-1-1-density/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-1-changes-of-state--the-particle-model/3-1-2-solids-liquids--gases/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-1-changes-of-state--the-particle-model/3-1-3-required-practical-determining-density/,3,1,1,FALSE,FALSE
Changes of state ,"Students should be able to describe how, when substances change state (melt, freeze, boil, evaporate, condense or sublimate), mass is conserved.\n

Changes of state are physical changes which differ from chemical changes because the material recovers its original properties if the change is reversed.",https://www.youtube.com/watch?v=oDltG4GRBF0,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-1-changes-of-state--the-particle-model/3-1-4-changes-of-state/,,,3,1,2,FALSE,FALSE
Internal energy,"Energy is stored inside a system by the particles (atoms and molecules) that make up the system. This is called internal energy.\n

Internal energy is the total kinetic energy and potential energy of all the particles (atoms and molecules) that make up a system.\n

Heating changes the energy stored within the system by increasing the energy of the particles that make up the system. This either raises the temperature of the system or produces a change of state.",https://www.youtube.com/watch?v=5WVT5NR0iLA,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-2-internal-energy--energy-transfers/3-2-1-internal-energy/,,,3,2,1,FALSE,FALSE
Temperature changes in a system & specific heat capacity,"If the temperature of the system increases, the increase in temperature depends on the mass of the substance heated, the type of material and the energy input to the system.\n

The following equation applies: change in thermal energy = mass × specific heat capacity × temperature change
∆ E  = m c ∆ θ\n

change in thermal energy, ∆E, in joules, J
mass, m, in kilograms, kg
specific heat capacity, c, in joules per kilogram per degree Celsius, J/kg °C
temperature change, ∆θ, in degrees Celsius, °C.\n

The specific heat capacity of a substance is the amount of energy required to raise the temperature of one kilogram of the substance by one degree Celsius.

",https://www.youtube.com/watch?v=A43XUvHxejY,https://www.youtube.com/watch?v=rdI7xEq4Ew8,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-2-internal-energy--energy-transfers/3-2-2-specific-heat-capacity/,,,3,2,2,FALSE,FALSE
Changes of state & specific latent heat,"If a change of state happens: The energy needed for a substance to change state is called latent heat. When a change of state occurs, the energy supplied changes the energy stored (internal energy) but not the temperature.\n

The specific latent heat of a substance is the amount of energy required to change the state of one kilogram of the substance with no change in temperature.\n

energy for a change of state = mass × specific latent heat
\(E=mL\)\n

energy, E, in joules, J
mass, m, in kilograms, kg
specific latent heat, L, in joules per kilogram, J/kg
Specific latent heat of fusion – change of state from solid to liquid
Specific latent heat of vaporisation – change of state from liquid to vapour\n

Students should be able to interpret heating and cooling graphs that include changes of state.\n
Students should be able to distinguish between specific heat capacity and specific latent heat.",https://www.youtube.com/watch?v=x7GZ2DXef84,https://www.youtube.com/watch?v=3itqmCtmJPc,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-2-internal-energy--energy-transfers/3-2-3-latent-heat/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-2-internal-energy--energy-transfers/3-2-4-specific-latent-heat/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-2-internal-energy--energy-transfers/3-2-5-heating--cooling-graphs/,3,2,3,FALSE,FALSE
Particle motion in gases,"The molecules of a gas are in constant random motion. The temperature of the gas is related to the average kinetic energy of the molecules. Changing the temperature of a gas, held at constant volume, changes the pressure exerted by the gas.\n

Students should be able to:\n

• explain how the motion of the molecules in a gas is related to both its temperature and its pressure
• explain qualitatively the relation between the temperature of a gas and its pressure at constant volume",https://www.youtube.com/watch?v=-QItgmgzphU,https://www.youtube.com/watch?v=hKO3DpgiISk,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-3-particle-model--pressure/3-3-1-kinetic-theory/,,,3,3,1,FALSE,FALSE
Pressure in gases ,"A gas can be compressed or expanded by pressure changes. The pressure produces a net force at right angles to the wall of the gas container (or any surface).\n

Students should be able to use the particle model to explain how increasing the volume in which a gas is contained, at constant temperature, can lead to a decrease in pressure.
For a fixed mass of gas held at a constant temperature:\n

pressure × volume = constant
\(pV = constant\)\n

pressure, p, in pascals, Pa
volume, V, in metres cubed, m3\n

Students should be able to calculate the change in the pressure of a gas or the volume of a gas (a fixed mass held at constant temperature) when either the pressure or volume is increased or decreased.",https://www.youtube.com/watch?v=-TjKWzZrDGk,https://www.youtube.com/watch?v=RuoZqmNiMEo,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-3-particle-model--pressure/3-3-2-pressure--volume/,,,3,3,2,FALSE,TRUE
Increasing the pressure of a gas (video same),"Work is the transfer of energy by a force. Doing work on a gas increases the internal energy of the gas and can cause an increase in the temperature of the gas.\n

Students should be able to explain how, in a given situation eg a bicycle pump, doing work on an enclosed gas leads to an increase in the temperature of the gas.",https://www.youtube.com/watch?v=RuoZqmNiMEo,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/3-particle-model-of-matter/3-3-particle-model--pressure/3-3-3-work-on-a-gas/,,,3,3,2H,TRUE,TRUE
Structure of an atom ,"Atoms are very small, having a radius of about 1 × 10-10 metres. The basic structure of an atom is a positively charged nucleus composed of both protons and neutrons surrounded by negatively charged electrons.\n

The radius of a nucleus is less than 1/10 000 of the radius of an atom. Most of the mass of an atom is concentrated in the nucleus. The electrons are arranged at different distances from the nucleus (different energy levels).\n

The electron arrangements may change with the absorption of electromagnetic radiation (move further from the nucleus; a higher energy level) or by the emission of electromagnetic radiation (move closer to the nucleus; a lower energy level).",https://www.youtube.com/watch?v=dftq9xGXcf8,,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-1-atomic-structure/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-2-the-absorption--emission-of-em-radiation/,,4,1,1,FALSE,FALSE
"Mass number, atomic number and isotopes","In an atom the number of electrons is equal to the number of protons in the nucleus. Atoms have no overall electrical charge. All atoms of a particular element have the same number of protons. The number of protons in an atom of an element is called its atomic number. The total number of protons and neutrons in an atom is called its mass number.\n

Atoms can be represented as shown in this example: Atoms of the same element can have different numbers of neutrons; these atoms are called isotopes of that element. Atoms turn into positive ions if they lose one or more outer electron(s).\n

Students should be able to relate differences between isotopes to differences in conventional representations of their identities, charges and masses.",https://www.youtube.com/watch?v=k8cLFDa8zmY,https://www.youtube.com/watch?v=KwOHJbE4Tro,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-3-atomic--mass-number/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-4-isotopes/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-5-positive-ions/,4,1,2,FALSE,FALSE
The development of the model of the atom,"New experimental evidence may lead to a scientific model being changed or replaced. Before the discovery of the electron, atoms were thought to be tiny spheres that could not be divided. The discovery of the electron led to the plum pudding model of the atom. The plum pudding model suggested that the atom is a ball of positive charge with negative electrons embedded in it.\n

The results from the alpha particle scattering experiment led to the conclusion that the mass of an atom was concentrated at the centre (nucleus) and that the nucleus was charged. This nuclear model replaced the plum pudding model. Niels Bohr adapted the nuclear model by suggesting that electrons orbit the nucleus at specific distances.\n

The theoretical calculations of Bohr agreed with experimental observations. Later experiments led to the idea that the positive charge of any nucleus could be subdivided into a whole number of smaller particles, each particle having the same amount of positive charge.\n The name proton was given to these particles. The experimental work of James Chadwick provided the evidence to show the existence of neutrons within the nucleus. This was about 20 years after the nucleus became an accepted scientific idea.\n

Students should be able to describe:\n

• why the new evidence from the scattering experiment led to a change in the atomic model. 
• the difference between the plum pudding model of the atom and the nuclear model of the atom.",https://www.youtube.com/watch?v=Q8y4x5EElm8,https://www.youtube.com/watch?v=0ASldDQmIOQ,,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-6-the-plum-pudding-model/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-7-rutherford-scattering/,https://www.savemyexams.com/gcse/physics/aqa/18/revision-notes/4-atomic-structure/4-1-atoms--isotopes/4-1-8-bohrs-model-of-the-atom/,4,1,3,FALSE,FALSE
